,Country/Region,date_first_case,date_first_death,days_c1_to_d1,date,cases,deaths
143,Saint Vincent and the Grenadines,2020-03-14,2021-01-15,307.0,2021-07-07,2240,12
144,San Marino,2020-02-27,2020-03-03,5.0,2021-07-07,5092,90
145,Sao Tome and Principe,2020-04-06,2020-05-01,25.0,2021-07-07,2386,37
146,Saudi Arabia,2020-03-02,2020-03-24,22.0,2021-07-07,496516,7921
147,Senegal,2020-03-02,2020-04-01,30.0,2021-07-07,44436,1183
148,Serbia,2020-03-06,2020-03-20,14.0,2021-07-07,717196,7063
149,Seychelles,2020-03-14,2021-01-04,296.0,2021-07-07,16304,71
150,Sierra Leone,2020-03-31,2020-04-23,23.0,2021-07-07,5867,108
151,Singapore,2020-01-23,2020-03-21,58.0,2021-07-07,62652,36
152,Slovakia,2020-03-06,2020-03-18,12.0,2021-07-07,391780,12516
153,Slovenia,2020-03-05,2020-03-14,9.0,2021-07-07,257550,4422
154,Somalia,2020-03-16,2020-04-08,23.0,2021-07-07,14995,775
155,South Africa,2020-03-05,2020-03-27,22.0,2021-07-07,2112336,63039
156,South Korea,2020-01-22,2020-02-20,29.0,2021-07-07,164028,2034
157,South Sudan,2020-04-05,2020-05-15,40.0,2021-07-07,10886,117
158,Spain,2020-02-01,2020-03-03,31.0,2021-07-07,3897996,80969
159,Sri Lanka,2020-01-27,2020-03-28,61.0,2021-07-07,268676,3351
160,Sudan,2020-03-14,2020-03-13,-1.0,2021-07-07,36805,2760
161,Suriname,2020-03-14,2020-04-03,20.0,2021-07-07,22788,559
162,Sweden,2020-02-01,2020-03-10,38.0,2021-07-07,1092083,14639
163,Switzerland,2020-02-25,2020-03-05,9.0,2021-07-07,704352,10896
164,Syria,2020-03-22,2020-03-29,7.0,2021-07-07,25735,1893
165,Taiwan*,2020-01-22,2020-02-16,25.0,2021-07-07,15128,715
166,Tajikistan,2020-04-30,2020-05-02,2.0,2021-07-07,13690,97
167,Tanzania,2020-03-16,2020-03-31,15.0,2021-07-07,509,21
168,Thailand,2020-01-22,2020-03-01,39.0,2021-07-07,301172,2387
169,Timor-Leste,2020-03-22,2021-04-06,380.0,2021-07-07,9594,25
170,Togo,2020-03-06,2020-03-27,21.0,2021-07-07,14140,132
171,Trinidad and Tobago,2020-03-14,2020-03-25,11.0,2021-07-07,33920,918
172,Tunisia,2020-03-04,2020-03-19,15.0,2021-07-07,464914,15735
173,Turkey,2020-03-11,2020-03-17,6.0,2021-07-07,5459923,50048
174,US,2020-01-22,2020-02-29,38.0,2021-07-07,33770444,606218
175,Uganda,2020-03-21,2020-07-24,125.0,2021-07-07,84979,2012
176,Ukraine,2020-03-03,2020-03-13,10.0,2021-07-07,2307068,54860
177,United Arab Emirates,2020-01-29,2020-03-20,51.0,2021-07-07,644114,1847
178,United Kingdom,2020-01-31,2020-03-06,35.0,2021-07-07,5007964,128565
179,Uruguay,2020-03-13,2020-03-28,15.0,2021-07-07,374665,5758
180,Uzbekistan,2020-03-15,2020-03-27,12.0,2021-07-07,114039,758
181,Vanuatu,2020-11-10,2021-04-21,162.0,2021-07-07,4,1
182,Venezuela,2020-03-14,2020-03-27,13.0,2021-07-07,280980,3239
183,Vietnam,2020-01-23,2020-07-31,190.0,2021-07-07,23385,102
184,West Bank and Gaza,2020-03-05,2020-03-26,21.0,2021-07-07,314869,3577
185,Yemen,2020-04-10,2020-04-30,20.0,2021-07-07,6934,1364
186,Zambia,2020-03-18,2020-04-02,15.0,2021-07-07,169003,2618
187,Zimbabwe,2020-03-20,2020-03-23,3.0,2021-07-07,60227,1973
